"trait1"	"trait2"	"Mcor"	"Rcor"	"ratio"	"P"	"P_adjust"	"Z_var"
"93"	"A7-1_A"	"D14-1_A"	0.427501021396236	0.520489873186392	1.2175172622663	0.818	0.915348383500557	0.170390227624917
"94"	"A7-1_A"	"D14-1_C"	0.464234595826875	0.235579654553842	0.507458204691181	0.466	0.700002494232088	0.163061615926725
"95"	"A7-1_A"	"D14-2_C"	0.397156231476917	-0.263691759262313	-0.663949696273718	0.108	0.338986319218241	0.169059940435275
"96"	"A7-1_A"	"D14-3_A1B"	0.428746408681662	0.202884798789178	0.473204660566189	0.49	0.719235924932976	0.167609311781506
"97"	"A7-1_A"	"D14-3_C"	0.459402499683829	0.0385230415440184	0.0838546624594571	0.236	0.497744703204342	0.161924352936425
"98"	"A7-1_A"	"D15-1_A"	0.379813132884253	0.0195372466581576	0.0514391024601868	0.322	0.580525370453525	0.167352522519265
"99"	"A7-1_A"	"D15-1_C"	0.420067752093739	-0.0856131691489978	-0.203808001738474	0.196	0.456108964451314	0.168674188627878
"100"	"A7-1_A"	"D15-2_C"	0.336958075939698	-0.377297290063053	-1.11971582521314	0.08	0.291337868480726	0.171484618000936
"101"	"A7-1_A"	"D15-3_A1B"	0.331131642926262	0.155317003646601	0.469049113742319	0.574	0.775310344827586	0.174002212997758
"102"	"A7-1_A"	"D15-3_C"	0.39299470469759	-0.259520813842803	-0.660367202765504	0.112	0.345287944714615	0.168307018191699
"103"	"A7-1_A"	"D16-1_A"	0.127882195495876	-0.0886266180436912	-0.693033285048263	0.624	0.807702971361023	0.180889032941648
"104"	"A7-1_A"	"D16-1_C"	0.147240455835315	-0.250874708802425	-1.7038436031672	0.35	0.604928971157985	0.177611494451374
"105"	"A7-1_A"	"D16-2_C"	0.114844896086088	-0.0132679866444208	-0.115529615129567	0.768	0.888921347234901	0.179933633378859
"106"	"A7-1_A"	"D16-3_A1B"	0.0407381209097191	0.413683800121315	10.1547099101132	0.358	0.611429989365473	0.184827164267573
"107"	"A7-1_A"	"D16-3_C"	0.144665637857574	0.0508786597343538	0.351698305747249	0.828	0.920509483594074	0.179319108276886
"108"	"A7-1_A"	"D17-1_A"	0.172381318385375	0.645600547874975	3.74518859654891	0.168	0.421136316337149	0.183978343098436
"109"	"A7-1_A"	"D17-1_C"	0.116190407647841	-0.34069292671783	-2.93219495150089	0.276	0.538193297717339	0.164508777897374
"110"	"A7-1_A"	"D17-2_C"	0.167833796065458	0.620063437398806	3.69450880534795	0.156	0.406450356911097	0.163406622042098
"111"	"A7-1_A"	"D17-3_A1B"	0.195291056382062	0.170044761784832	0.870724778364462	0.922	0.965107325975493	0.164541516363826
"112"	"A7-1_A"	"D102_A"	0.307731564433411	-0.342763085320684	-1.11383791894007	0.126	0.365879942140791	0.181296590263277
"113"	"A7-1_A"	"D103_C"	0.342795208975536	-0.164015082260822	-0.478463753186607	0.186	0.444870929308975	0.172977113203373
"114"	"A7-1_A"	"D104_A1B"	0.30507366420701	-0.0675000151899841	-0.22125808651966	0.364	0.617170608108108	0.178804784473215
"115"	"A7-1_A"	"D105_A"	0.127599869586906	0.0608701450875768	0.477039242160976	0.806	0.908758775624824	0.165883129401362
"116"	"A7-1_A"	"D106_C"	0.140890694252517	0.129520135133096	0.919295172901612	0.98	0.99148292805846	0.181235211178256
"117"	"A7-1_A"	"D107_A1B"	0.124162682942057	0.351927355039022	2.83440520694334	0.506	0.730393672478878	0.177274422193017
"118"	"A7-1_A"	"D108_C"	0.115753630986966	-0.33953296941334	-2.93323817592876	0.274	0.536028910183531	0.186592782042673
"119"	"A7-1_A"	"D109_C"	0.205205527395164	-0.0576018700291331	-0.280703306389059	0.494	0.722115291262136	0.18300779358673
"120"	"A7-1_A"	"D110_A1B"	0.220850151639531	-0.427998409356741	-1.93795841288492	0.094	0.315604181184669	0.176028396920785
"121"	"A7-1_A"	"D112_C"	-0.220682201876784	-0.341805581868359	1.54885885205732	0.79	0.90041161998486	0.180055471074887
"122"	"A7-1_A"	"D113_C"	0.0131731898261826	0.428976075358003	32.5643280798537	0.28	0.542000803535556	0.178129935999826
"123"	"A7-1_A"	"D114_A1B"	-0.113471859521377	-0.425573250667171	3.75047392774064	0.404	0.651647807164379	0.178585494044465
"124"	"A7-1_A"	"D116_C"	0.172880144278095	-0.3774452158052	-2.18327684408941	0.21	0.472132524498367	0.190381733884061
"125"	"A7-1_A"	"D117_A"	0.242680315349443	-0.301967284758613	-1.24430069379052	0.18	0.437469733656174	0.177421340979662
"126"	"A7-1_A"	"D117_C"	0.169998190017286	0.194850702269009	1.14619280504808	0.978	0.99054109733025	0.181529153518169
"127"	"A7-1_A"	"D118_A1B"	0.300815326285977	-0.370021653424687	-1.23006250377322	0.09	0.309595887476796	0.17751338797722
