"trait1"	"trait2"	"Mcor"	"Rcor"	"ratio"	"P"	"P_adjust"
"66"	3	24	-0.41309140225934	-0.0546684732214705	0.132339896019306	0	0
"67"	4	5	0.380641421844085	0.388247069930833	1.01998113618298	0.962	0.983377777777778
"68"	4	6	0.152806357825175	-0.294979339522695	-1.93041273753923	0.15	0.189041095890411
"69"	4	7	-0.17321196060097	-0.735757870481677	4.24773132253061	0	0
"70"	4	8	-0.474795632039504	-0.860386828503595	1.8121203533566	0	0
"71"	4	9	0.0278232149839193	-0.0271681084926359	-0.97645468032138	0.998	0.998
"72"	4	10	0.0631633424113815	-0.560295253958489	-8.87057639080114	0	0
"73"	4	11	-0.18000572089783	-0.315921907106976	1.75506592530073	0	0
"74"	4	12	0.326326848057823	-0.649914287232818	-1.99160532178357	0	0
"75"	4	13	0.0967505295782168	-0.141135305509087	-1.4587548628867	0.6	0.657142857142857
